date,s_exp,s_min,s_q05,s_q25,s_q75,s_q95,s_max,natl_exp,natl_q05,natl_q25,natl_q75,natl_q95,prob,dem_pickup_exp,dem_pickup_q05,dem_pickup_q25,dem_pickup_q75,dem_pickup_q95,gop_pickup_exp,gop_pickup_q05,gop_pickup_q25,gop_pickup_q75,gop_pickup_q95,pr_presidency,pr_tie
2020-05-21,52,44,48,50,54,58,65,0.545,0.5133,0.532,0.5601,0.5789,0.8204,6,2,4.75,8,11,1,0,1,1,2,,
2020-05-25,52,44,48,50,54,58,63,0.5454,0.5144,0.5328,0.5593,0.5799,0.7949,6,2,4,8,11,1,0,1,1,2,,
2020-05-30,52,44,48,50,54,57,64,0.5469,0.5142,0.5342,0.5604,0.5783,0.8049,6,2,4,8,11,1,0,1,1,2,,
2020-06-02,52,44,48,50,54,58,63,0.5474,0.5137,0.5346,0.5609,0.5812,0.8059,6,3,4,8,11,1,0,1,1,2,,
2020-06-06,52,44,48,50,55,58,62,0.5469,0.5156,0.5349,0.5599,0.5809,0.8166,6,2,5,8,11,1,0,1,1,2,0.868,0.1075
2020-06-07,52,44,48,50.75,55,58,64,0.5465,0.5155,0.5341,0.5601,0.5791,0.8484,6,3,5,8,12,1,0,1,1,2,0.868,0.1133
2020-06-09,52,45,48,51,55,58,64,0.5484,0.5176,0.5358,0.5613,0.5829,0.8492,6,3,5,8,11,1,0,1,1,2,0.859,0.1047
2020-06-11,52,44,48,50,55,58,64,0.5475,0.5149,0.5344,0.5619,0.583,0.8151,6,2,4,9,12,1,0,1,1,2,0.9073,0.11
2020-06-16,52,43,48,51,55,58,63,0.5482,0.5163,0.5354,0.5606,0.5788,0.8473,7,3,5,9,12,1,0,1,1,2,0.9107,0.1047
2020-06-18,52,44,48,50,54,58,66,0.5421,0.5097,0.5282,0.5571,0.5758,0.8119,6,2,4,8,11,1,0,1,1,2,0.9253,0.126
2020-06-22,52,44,48,50,54,57,64,0.5424,0.5098,0.5292,0.5559,0.5774,0.808,6,2,4,8,11,1,0,0,1,2,0.913,0.1227
2020-06-23,52,44,48,50,54,58,62,0.5436,0.5121,0.5297,0.5565,0.5768,0.8157,6,2,4,8,11,1,0,1,1,2,0.885,0.1073
2020-06-25,52,45,48,50,54,57,62,0.5443,0.5143,0.5315,0.5577,0.5767,0.8239,6,2,4,8,11,1,0,1,1,2,0.8933,0.1133
2020-06-26,52,43,48,51,55,58,64,0.5463,0.515,0.5341,0.5593,0.5784,0.8465,6,2,5,8,11,1,0,1,1,2,0.8993,0.094
2020-06-29,52,44,48,50,55,58,64,0.5454,0.5133,0.5323,0.5577,0.5772,0.8423,6,3,5,8,11,1,0,1,1,2,0.8937,0.1167
